main_name,nova_name,file_name,match_type,notes
,Ajay通用版V1.2.icp,Ajay通用版V1.2.icp,new,manual-check-needed
,安迪和莱莉的棺材.icp,安迪和莱莉的棺材.icp,new,manual-check-needed
,阿尔法协议.icp,阿尔法协议.icp,new,manual-check-needed
,BrickRigs.icp,BrickRigs.icp,new,manual-check-needed
,半条命2.icp,半条命2.icp,new,manual-check-needed
,备用手柄.icp,备用手柄.icp,new,manual-check-needed
,巴迪的基础教学V3.icp,巴迪的基础教学V3.icp,new,manual-check-needed
,波斯王子2.icp,波斯王子2.icp,new,manual-check-needed
,波斯王子遗忘之沙手机版.icp,波斯王子遗忘之沙手机版.icp,new,manual-check-needed
,百战天虫末日浩劫.icp,百战天虫末日浩劫.icp,new,manual-check-needed
,ClawRTS.icp,ClawRTS.icp,new,manual-check-needed
CLOS2.icp,CLOS2.icp,CLOS2.icp,unchanged,
,CS2D按钮版.icp,CS2D按钮版.icp,new,manual-check-needed
,传说之下.icp,传说之下.icp,new,manual-check-needed
,创世纪地下世界.icp,创世纪地下世界.icp,new,manual-check-needed
,刺客信条.icp,刺客信条.icp,new,manual-check-needed
,常用方案.icp,常用方案.icp,new,manual-check-needed
,茶杯头.icp,茶杯头.icp,new,manual-check-needed
,超越光速.icp,超越光速.icp,new,manual-check-needed
,铲子骑士.icp,铲子骑士.icp,new,manual-check-needed
DC.icp,DC.icp,DC.icp,unchanged,
,DE菜单.icp,DE菜单.icp,new,manual-check-needed
Dreadcell.icp,Dreadcell.icp,Dreadcell.icp,unchanged,
,东方红魔乡.icp,东方红魔乡.icp,new,manual-check-needed
,地狱直升机.icp,地狱直升机.icp,new,manual-check-needed
,地铁2033.icp,地铁2033.icp,new,manual-check-needed
,德军总部.icp,德军总部.icp,new,manual-check-needed
FPS.icp,FPS.icp,FPS.icp,unchanged,
,FPSAjay全键版.icp,FPSAjay全键版.icp,new,manual-check-needed
,辐射1+2.icp,辐射1+2.icp,new,manual-check-needed
